Doc_ID,Hypothesis_ID,Gold_Label,Evidence_Text,Primary_Pattern,Secondary_Patterns,Cue_Words,Evidence_Structure,Divergence_Flag,Confidence,Complexity_Score,Notes
34,nda-11,NotMentioned,N/A,P10,,,None,No divergence,High,1,The contract does not directly address reverse engineering. The risk is that an AI system may infer a common NDA restriction that is not actually stated.
34,nda-16,Entailment,"5. All Confidential Information in any form and any medium, including all copies thereof, disclosed to the Recipient shall be returned to UNHCR or destroyed:
---
(a) if a business relationship is not entered into with UNHCR on or before the date which is three (3) months after the date both Parties have signed the Agreement; or",P04,"P01, P05, P06, P09",P01=shall be|upon request; P04=if; P05=before the date|at any time; P06=Confidential Information|Recipient,Multi-span,Possible divergence,Medium,5,"The evidence clearly supports return/destruction, but the trigger is framed as non-entry into a business relationship within three months rather than termination. The gold label is correct but the reasoning is not. Hence the divergence."
34,nda-15,Entailment,"4. Nothing in this Agreement is to be construed as granting the Recipient, by implication or otherwise, any right whatsoever with respect to the Confidential Information or part thereof.",P01,"P02, P08 ",P01=granting; P02=Nothing in this Agreement; P08=by implication or otherwise|any right whatsoever,Single-span,No divergence,High,3,The clause denies any grant of rights in Confidential Information.
34,nda-10,Entailment,"11. The Recipient shall not advertise or otherwise make public the fact that it has a confidential relationship with UNHCR, nor shall the Recipient, in any manner whatsoever use the name, emblem, or official seal of the United Nations or UNHCR, or any abbreviation of the name of the United Nations or UNHCR in connection with its business or otherwise.",P01,"P02, P08 ",P01=shall not; P02=nor shall; P08=in any manner whatsoever|or any,Single-span,Possible divergence,Medium,3,The clause prohibits making public the confidential relationship with UNHCR. The evidence uses broader wording than the exact hypothesis.
34,nda-2,NotMentioned,N/A,P10,"P06, P08",P06=Confidential Information|shall mean|including|designated; P08=any|in any form whatsoever,None,Possible divergence,Medium,3,"The contract defines Confidential Information broadly, but the dataset marks the hypothesis as NotMentioned. I would go for contradiction based on point 1."
34,nda-1,Entailment,"1. “Confidential Information”, whenever used in this Agreement, shall mean any data, document, specification and other information or material, that is delivered or disclosed by UNHCR to the Recipient in any form whatsoever, whether orally, visually in writing or otherwise (including computerized form), and that, at the time of disclosure to the Recipient, is designated as confidential.",P06,"P04, P08",P06=Confidential Information|shall mean|including|designated; P04=at the time of disclosure; P08=any|in any form whatsoever,Single-span,No divergence,High,3,"The definition requires information to be designated as confidential at the time of disclosure, which supports the identification hypothesis."
34,nda-19,Entailment,"Either Party may terminate the working relationship contemplated by this Agreement by providing written notice to the other, provided, however, that the obligations and restrictions hereunder regarding the Confidential Information shall remain effective following any such termination or any other termination or expiration of this Agreement.",P05,"P01, P03","P05=terminate|termination|expiration; P03=provided, however; P01=shall remain|may",Single-span,No divergence,High,3,"The clause states that confidentiality obligations remain effective after termination or expiration. The phrase 'provided, however' carves out continuing obligations after termination."
34,nda-12,Entailment,"The Recipient shall not be precluded from disclosing the Confidential Information that is
---
(iv) at any time is developed by the Recipient completely independently of any disclosures hereunder.",P02,"P08, P09",P02=shall not be precluded; P08=at any time|independently|any disclosures,Multi-span,Possible divergence,Medium,3,"The evidence uses double-negative language to say the recipient is not prevented from disclosing independently developed information. It supports the idea of independent development, but indirectly."
34,nda-20,NotMentioned,N/A,P10,"P04, P08",P04= if|upon request; P08=in any form|any medium|including,None,Possible divergence,Medium,3,"The contract discusses return/destruction and survival, but does not clearly permit retaining Confidential Information after return or destruction. Contardiction Based on point 5."
34,nda-3,Entailment,"1. “Confidential Information”, whenever used in this Agreement, shall mean any data, document, specification and other information or material, that is delivered or disclosed by UNHCR to the Recipient in any form whatsoever, whether orally, visually in writing or otherwise (including computerized form), and that, at the time of disclosure to the Recipient, is designated as confidential.",P06,"P04, P08 ",P06=Confidential Information|shall mean|including|designated; P04=at the time of disclosure; P08=any|in any form whatsoever,Single-span,No divergence,High,3,"The definition expressly includes information disclosed orally, visually, in writing, or otherwise, so verbally conveyed information is included."
34,nda-18,NotMentioned,N/A,P10,,,None,No divergence,High,1,The contract does not directly address solicitation of the Disclosing Party's representatives.
34,nda-7,Entailment,"2.3 Provided that the Recipient has a written agreement with the following persons or entities requiring them to treat the Confidential Information in accordance with this Agreement, the Recipient may disclose the Confidential Information to:
---
2.3.2 the Recipient’s employees, officials, representatives and agents who have a strict need to know the contents of the Confidential Information, and employees, officials, representatives and agents of any legal entity that it controls, controls it, or with which it is under common control, who have a similar need to know the contents of the Confidential Information, provided that, for these purposes a controlled legal entity means:",P07,"P01, P04, P06, P08, P09 ",P07=representatives and agents|any legal entity that it controls|corporate entity; P01=may disclose; P04=Provided that; P06=means; P08=strict need to know|similar need to know,Multi-span,Possible divergence,Medium,6,Evidence spans non-self-contained: 2.3.2 ends on definitional lead-in 'controlled legal entity means:' with the definition items (2.3.2.1–2.3.2.3) omitted. 2.3.1 (disclosure to 'any other party' with prior written consent) also omitted despite being the broadest third-party permission. Entailment label itself not disputed — only span completeness.
34,nda-17,Entailment,"The Recipient will not copy or reproduce the Confidential Information except as reasonably required for the purposes contemplated in this Agreement, and will ensure that any confidentiality or other proprietary rights notices on the Confidential Information are reproduced on all copies.",P03,"P01, P02, P08",P03=except as; P02=will not; P01=will not copy or reproduce|will ensure; P08=reasonably required|for the purposes,Single-span,No divergence,High,4,The clause generally prohibits copying but carves out copying that is reasonably required for the purposes of the agreement.
34,nda-8,Entailment,"The Recipient may disclose the Confidential Information to the extent required by law, provided that, subject to and without any waiver of the privileges and immunities of UNHCR, the Recipient will give UNHCR sufficient prior notice of a request for the disclosure of the Confidential Information in order to allow UNHCR to have a reasonable opportunity to take protective measures or such other action as may be appropriate before any such disclosure is made.",P04,P01; P05; P08,P01=may disclose|will give; P04=provided that|to the extent required|request for|without any; P05=prior notice|before any such disclosure; P08=any such|sufficient,Single-span,No divergence,High,4,The notice duty is triggered by legally required disclosure. The clause also limits disclosure to the required extent and requires prior notice.
34,nda-13,Entailment,"The Recipient shall not be precluded from disclosing the Confidential Information that is
---
(i) obtained by the Recipient without restriction from a third party who is not in breach of any obligation as to confidentiality to the owner of such Confidential Information or any other person, or",P02,"P07, P08, P09",P02=shall not be precluded from disclosing|not in breach of; P07=third party|owner; P08=without restriction,Multi-span,Possible divergence,Medium,4,The clause permits disclosing what was acquired from a third party; the hypothesis asserts permission to acquire.
34,nda-5,Entailment,"2.3 Provided that the Recipient has a written agreement with the following persons or entities requiring them to treat the Confidential Information in accordance with this Agreement, the Recipient may disclose the Confidential Information to:
---
2.3.2 the Recipient’s employees, officials, representatives and agents who have a strict need to know the contents of the Confidential Information, and employees, officials, representatives and agents of any legal entity that it controls, controls it, or with which it is under common control, who have a similar need to know the contents of the Confidential Information, provided that, for these purposes a controlled legal entity means:
---
2.3.2.2 any entity over which the Party exercises effective managerial control; or,",P07,"P01, P04, P06, P08, P09",P07=persons or entities|employees|officials|representatives|agents|controlled legal entity; P01=may disclose ; P04=Provided that the Recipient has a written agreement|provided that; P06=means; P08=strict need to know|similar need to know,Multi-span,No divergence,High,6,The hypothesis turns on whether employees are permitted recipients. The clause allows disclosure to employees. Also this is a case of excellent evidence.
34,nda-4,Entailment,The Recipient shall use the Confidential Information solely for the purpose for which it was disclosed;,P01,P08,P01=shall use; P08=solely for;,Single-span,No divergence,High,2,The clause creates a clear limited-use obligation: the recipient may use Confidential Information only for the disclosed purpose.
86,nda-11,NotMentioned,N/A,P10,,,None,No divergence,High,1,The contract does not directly address reverse engineering.
86,nda-16,NotMentioned,N/A,P10,"P04, P08",P04=first request; P08=in whole or in part,None,No divergence,Medium,3,"The contract contains return/destruction obligations on the Organiser's request, and it contains termination language, but it does not clearly state that information must be returned or destroyed upon termination."
86,nda-15,Entailment,"Any and all proprietary rights, including but not limited to rights to and in inventions, patent rights, utility models, copyrights, trademarks and trade secrets, in and to any Confidential Information shall be and remain with the Participants respectively, and Mentor shall not have any right, license, title or interest in or to any Confidential Information, except the limited right to review, assess and help develop such Confidential Information in connection with the Copernicus Accelerator 2017.",P03,"P01, P02, P08",P03=except the limited right; P02=shall not have; P01=shall be|remain|shall not have; P08=Any and all|including but not limited to|any|limited right,Single-span,No divergence,High,4,"The clause clearly denies the Mentor any right, licence, title, or interest in Confidential Information, except for a limited review/use right. This supports the no-licensing hypothesis."
86,nda-10,NotMentioned,N/A,P10,P06,P06=In case of doubt any information is deemed to be Confidential Information,None,No divergence,High,2,The contract does not directly prohibit disclosure of the fact that the agreement was agreed or negotiated.
86,nda-2,Contradiction,"“Confidential Information” means any Idea disclosed to Mentor, all data and information, know-how, business concepts, software, procedures, products, services, development projects, and programmes contained in such Idea and/or its description and any conclusions.",P06,P08,P06=means; P08=all|any|contained in such,Single-span,No divergence,High,2,The definition of Confidential Information is broad and includes many non-technical categories. This contradicts the hypothesis that Confidential Information only includes technical information.
86,nda-1,NotMentioned,N/A,P10,"P06, P03",P06=means; P03=unless;,None,Possible divergence,Medium,3,"Contradictionl: point 4 attaches confidentiality automatically by disclosure with no designation step, and the last sentence in that point makes confidentiality the default — incompatible with hypothesis's express-identification requirement. No single clause states ""need not be identified""; contradiction must be inferred from absence of a designation condition plus presence of a default rule."
86,nda-19,Entailment,"Notwithstanding the termination of this Agreement, any Confidential Information must be kept confidential for as long as such Confidential Information is not publicly known unless it becomes part of the public domain through no wrongful act of Mentor.",P05,"P01, P02, P03",P05=Notwithstanding the termination of this Agreement|for as long as; P03=unless; P02=not publicly known|no wrongful act; P01=must be kept,Single-span,No divergence,High,4,The clause states that confidentiality obligations continue after termination for as long as the information is not publicly known. This directly supports survival of obligations.
86,nda-12,NotMentioned,N/A,P10,"P05, P08, P02",P08=does not include|any; P05=prior to the disclosure; P02=does not include,None,No divergence,Medium,4,"There may be related exclusion language around independently developed information in point 4, but the dataset contains no evidence span and does not directly support a general permission to independently develop similar information."
86,nda-20,Contradiction,"At Organiser’s first request, Mentor shall:
---
(d) erase and/or destroy any Confidential Information contained in computer memory or data storage apparatus of, under control of or used by Mentor;
---
(e) remove the Confidential Information from any software or data base of, under control of/or used by Mentor that incorporates or uses the Confidential Information in whole or in part; and",P04,"P01, P08, P09",P08=any Confidential Information|in whole or in part; P01=shall; P04=first request,Multi-span,No divergence,High,4,"The evidence requires erasure, destruction, and removal of Confidential Information on request. This contradicts a permission to retain information after return or destruction. However, (d)+(e) only cover electronic residue; strictly, physical retention is addressed by (b)/(c), which aren't in the spans."
86,nda-3,NotMentioned,N/A,P10,,,None,No divergence,High,1,The contract does not clearly state that Confidential Information may include verbally conveyed information.
86,nda-18,NotMentioned,N/A,P10,,,None,No divergence,High,1,The contract does not directly address solicitation of the Disclosing Party's representatives.
86,nda-7,Contradiction,Mentor shall not disclose any Confidential Information to any third party or to Mentor’s employees and/or employer without the prior written consent of the Participants.,P03,"P01, P02, P07, P08",P03=without the prior written consent; P02=shall not; P01=shall not disclose; P07=employees|employer|any third party|Participants; P08=any,Single-span,Possible divergence,Medium,5,"The evidence prohibits disclosure to third parties without prior written consent. Because the consent condition limits the prohibition, this is worth reviewing, but the selected evidence supports the dataset's contradiction label."
86,nda-17,NotMentioned,N/A,P10,P08,P08=any copy|all materials,None,No divergence,High,2,The contract does not directly permit the Mentor to create copies of Confidential Information in some circumstances.
86,nda-8,Entailment,"If Mentor is required by mandatory, non-appealable judicial or administrative process and/or order to disclose Confidential Information, then Mentor shall promptly notify Organiser and allow Organiser and the Participants reasonable time to oppose such process unless this is not admissible under a mandatory law, judicial or administrative order.",P04,"P01, P02, P03, P08","P04=If Mentor is required by|order to disclose; P01=shall; P03=unless; P02=not admissible; P08=mandatory, non-appealable|reasonable time",Single-span,No divergence,High,5,The notice obligation is triggered by legally required disclosure. The clause also includes timing and an exception where notice is not admissible under mandatory law or order.
86,nda-13,Entailment,"Confidential Information does not include:
---
> information received from a third party who was free to disclose such information.",P06,"P07, P09",P06=does not include; P07=third party who was free to disclose,Multi-span,Possible divergence,High,3,"The answer depends on a definition/exclusion: information received from a third party who was free to disclose it is outside Confidential Information. ""not Confidential Information"" ≠ ""may acquire""; the clause removes a restriction rather than granting anything."
86,nda-5,Contradiction,Mentor shall not disclose any Confidential Information to any third party or to Mentor’s employees and/or employer without the prior written consent of the Participants.,P03,"P02, P01, P07, P08",P03=without the prior written consent; P02=shall not; P01=shall not disclose; P07=employees|employer|any third party|Participants; P08=any,Single-span,Possible divergence,Medium,5,"Label pivots on reading of ""shall not disclose... without prior written consent"": prohibition with consent (Contradiction:Mentor cannot share on own authority) vs conditional permission (→ Entailment: a path to share exists). Second sentence (""employees who will have access"") presupposes access, supporting the Entailment reading. Unusual clause: expect model failure here."
86,nda-4,Entailment,"Mentor shall not use any Confidential Information for any purpose except to review, assess and help develop the Participants´ Ideas.",P03,"P01, P02, P08",P01=shall not use; P02=shall not; P08=any Confidential Information|any purpose; P03=except to;,Single-span,No divergence,High,4,"The clause creates a limited-use rule by prohibiting use for any purpose except review, assessment, and development of the Participants' Ideas."
87,nda-11,NotMentioned,N/A,P10,,,None,No divergence,High,1,The contract does not directly address reverse engineering. This should not be inferred from general confidentiality obligations.
