nda id,hypothesis,short description
nda-1,All Confidential Information shall be expressly identified by the Disclosing Party.,Explicit identification
nda-2,Confidential Information shall only include technical information.,None-inclusion of non-technical information
nda-3,Confidential Information may include verbally conveyed information.,Inclusion of verbally conveyed information
nda-4,Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,Limited use
nda-5,Receiving Party may share some Confidential Information with some of Receiving Party's employees.,Sharing with employees
nda-7,"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).",Sharing with third-parties
nda-8,"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.",Notice on compelled disclosure
nda-10,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,Confidentiality of Agreement
nda-11,Receiving Party shall not reverse engineer any objects which embody Disclosing Party's Confidential Information.,No reverse engineering
nda-12,Receiving Party may independently develop information similar to Confidential Information.,Permissible development of similar information
nda-13,Receiving Party may acquire information similar to Confidential Information from a third party.,Permissible acquirement of similar information
nda-15,Agreement shall not grant Receiving Party any right to Confidential Information.,No licensing
nda-16,Receiving Party shall destroy or return some Confidential Information upon the termination of Agreement.,Return of confidential information
nda-17,Receiving Party may create a copy of some Confidential Information in some circumstances.,Permissible copy
nda-18,Receiving Party shall not solicit some of Disclosing Party's representatives.,No solicitation
nda-19,Some obligations of Agreement may survive termination of Agreement.,Survival of obligations
nda-20,Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,Permissible post-agreement possession
